col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,movie_facebook_likes,movie_title_word_nums,movie_title_avg_length,plot_keywords_word_nums,plot_keywords_avg_length,Game-Show,Documentary,Sport,History,Short,Crime,Mystery,Action,Reality-TV,Drama,Comedy,Musical,Film-Noir,Thriller,Adventure,War,News,Animation,Western,Romance,Family,Sci-Fi,Music,Horror,Biography,Fantasy,color_ Black and White,color_Color,color_Other,language_English,language_French,language_Other,country_Australia,country_Canada,country_China,country_France,country_Germany,country_India,country_Italy,country_Other,country_Spain,country_UK,country_USA,content_rating_G,content_rating_Not Rated,content_rating_Other,content_rating_PG,content_rating_PG-13,content_rating_R,aspect_ratio_1.33,aspect_ratio_1.37,aspect_ratio_1.78,aspect_ratio_1.85,aspect_ratio_2.35,aspect_ratio_Other
1,1,0,0,0,1,1,1,23.78097275046659,28.13438753794048,-5.681413432040323,15.639646742174524,11.168698731653652,1226.2145760580654,51.93989632164608,20.536004482005435,-7.132390528472842,17.821177694288227,595.736945836443,9.542236876024174e+152,12.542262405415135,11.658886201569219,1,1.0,5,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
0,1,0,0,0,3,0,1,17.040264606682825,27.311513342423236,9.697057998887116,16.351814866428317,22.738284695840235,946.609515512389,46.2030355889766,34.29673271888889,-7.132390528472842,14.340605373553897,633.9754495351682,9.107452934626927e+152,18.38766783627814,-8.998690238042157,7,7.0,5,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0,1,2,2,0,0,0,0,22.200507743184854,25.308365491182432,-5.681413432040323,9.405125471522588,18.048352075755126,834.9285135934336,41.786734003658594,25.13943972437205,0.0,13.575686973821979,600.9803139189534,1.0972086214296199e+153,10.084986485819746,12.854146773471632,1,1.0,5,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2,0,0,1,0,0,2,0,24.84504841845486,26.845565877556172,20.059481012159964,37.299710638885045,21.226532998076287,1053.1205932864266,54.43700551580018,40.55505345677354,-7.132390528472842,17.314198814229464,604.1935873720009,1.0232748645786954e+153,25.287403520027965,13.698822071252803,4,4.0,5,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0,0,3,0,1,0,0,1,12.449548004879507,10.486487421266792,6.735764426988398,8.783237481342804,6.7966521834309335,551.9674275471093,2.4804072854287638,8.127446755451897,-7.132390528472842,9.571021467772137,369.92901431641224,1.0972086214296199e+153,3.0607562048623205,-8.998690238042157,20,20.0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,2,0,1,1,0,0,0,20.079676361089195,23.691900691900642,9.323166088538008,13.61248647947534,10.107794404509235,624.5169592361362,39.76078068772936,16.366252831948938,0.0,12.58465023485879,612.7614881749463,1.0232748645786954e+153,11.387268771095563,11.262019070124149,2,2.0,5,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0,2,0,0,0,2,1,0,18.85392971586388,26.08611375054189,-5.681413432040323,23.858881816604203,20.788290742018354,969.7906143023808,44.448010761955544,33.94154363510961,-7.132390528472842,15.92617964641074,609.2375944487516,9.107452934626927e+152,21.739101001519668,-8.998690238042157,2,2.0,5,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,1,0,0,0,2,0,1,17.51384068593209,20.157880526944833,3.228209597656655,11.271208668512083,10.62760911657186,835.8085348946603,42.31356592678492,16.704630671610346,0.0,10.60857314511607,610.4805298842791,9.767181596226106e+152,11.011032591500658,11.497531006937134,1,1.0,5,5.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
4,0,0,0,0,0,1,0,22.6511527326795,24.611678457541828,-5.681413432040323,35.56559495347345,21.085381805432004,1060.4033408999953,46.045450625492286,39.30861554291168,1.4577109125009917,13.978490712154905,604.1935873720009,1.0972086214296199e+153,24.826466412386118,13.274255502093883,4,4.0,5,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,1,0,1,2,18.534466793079453,25.796676918247137,8.224938323234513,30.24955813043182,20.939423128016834,939.992956818811,43.017263001450885,35.75254830000905,1.1431511139442427,13.502863296534409,604.1935873720009,9.542236876024174e+152,21.739101001519668,10.184872867533347,6,6.0,5,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
